subject,provider,published_date,contract_price,status,contract_url,procurement_entity,reference_number,method,successful_bidder,removal_date,published_by,published_on,signed_by,extraction_timestamp,bidder_type,bidder_name,bidder_price,bidder_rank,evaluation_stage,failure_reasons
"Supply of Morning Bites, Lunch and Meals during Meetings on Framework Contract","<span class=""text-muted"">MY MAKA GROUP LIMITED</span>",01-09-2025,"UGX
                                            :67,260.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62327475,Uganda National Bureau of Standards,UNBS/SUPLS/2024-2025/00119,Open Domestic Bidding Method,MY MAKA GROUP LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:40.376683,unsuccessful,CLASSIC BAKING AND CATERING UGANDA LIMITED,"145,509.40",0,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation","Provided 1 year trading license  instead of 3 years, Audited books of Accounts provided 2 years instead of 3 years required, did not have system and lack standards"
PROCUREMENT OF UNBS BRANDED DESK AND WALL CALENDARS,"<span class=""text-muted"">NEW VISION PRINTING AND PUBLISHING CO. LTD, CHANGED FROM PRIVATE COMPANY TO PUBLIC</span>",10-09-2025,"UGX
                                            :32,504,586.80
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/63040275,Uganda National Bureau of Standards,UNBS/NCONS/2025-2026/00006,Request for Quotations/Proposals,"NEW VISION PRINTING AND PUBLISHING CO. LTD, CHANGED FROM PRIVATE COMPANY TO PUBLIC",24-09-2025,Head PDU,10 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:42.555103,unsuccessful,UGANDA PRINTING & PUBLISHING CORPORATION,"41,500,000.00",,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation",Attached an Invalid TCC
PROCUREMENT OF UNBS BRANDED DESK AND WALL CALENDARS,"<span class=""text-muted"">NEW VISION PRINTING AND PUBLISHING CO. LTD, CHANGED FROM PRIVATE COMPANY TO PUBLIC</span>",10-09-2025,"UGX
                                            :32,504,586.80
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/63040275,Uganda National Bureau of Standards,UNBS/NCONS/2025-2026/00006,Request for Quotations/Proposals,"NEW VISION PRINTING AND PUBLISHING CO. LTD, CHANGED FROM PRIVATE COMPANY TO PUBLIC",24-09-2025,Head PDU,10 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:42.555103,unsuccessful,EXPRESSION PRINTERS AND STATIONERS LIMITED,"21,299,000.00",,"Preliminary
                                                            Evaluation: Non CompliantDetailed Evaluation:Financial
                                                            Evaluation",Attached an Invalid TCC
PROCUREMENT OF UNBS BRANDED DESK AND WALL CALENDARS,"<span class=""text-muted"">NEW VISION PRINTING AND PUBLISHING CO. LTD, CHANGED FROM PRIVATE COMPANY TO PUBLIC</span>",10-09-2025,"UGX
                                            :32,504,586.80
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/63040275,Uganda National Bureau of Standards,UNBS/NCONS/2025-2026/00006,Request for Quotations/Proposals,"NEW VISION PRINTING AND PUBLISHING CO. LTD, CHANGED FROM PRIVATE COMPANY TO PUBLIC",24-09-2025,Head PDU,10 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:42.555103,unsuccessful,SHARK MEDIA LIMITED,"33,571,000.00",2,"Preliminary
                                                            Evaluation: CompliantDetailed Evaluation: ResponsiveFinancial
                                                            Evaluation",Price higher than the Best Evaluated Bidder
Insurance Services - Motor Comprehensive Insurance Coverage for UNBS Fleet,1Bidders,12-09-2025,"UGX
                                            :0.00
                                            /= V.A.T Inclusive","<span class=""badge bg-blue"">Active</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/63056475,Uganda National Bureau of Standards,UNBS/NCONS/2024-2025/00168,Open Domestic Bidding Method,,26-09-2025,Head PDU,12 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:44.742551,successful_only,,,,,
"Transfer,renovation and modification of Containers to provide ware house space.","<span class=""text-muted"">DETAIL MULTISERVICES & CONTRACTORS LIMITED</span>",01-09-2025,"UGX
                                            :40,445,137.20
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62023725,Uganda National Bureau of Standards,UNBS/NCONS/2024-2025/00259,Request for Quotations/Proposals,DETAIL MULTISERVICES & CONTRACTORS LIMITED,15-09-2025,Head PDU,01 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:53:47.154170,unsuccessful,BLUE MOON TECHNICAL SERVICES LIMITED,"45,239,972.80",2,"Preliminary
                                                            Evaluation: CompliantDetailed Evaluation: ResponsiveFinancial
                                                            Evaluation",Price above Best Evaluated Bidder
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/61691625"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/61691625"" class=""text-default font-weight-semibold"">
                                MOTOR VEHICLE SERVICE UBL129T
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/61691625"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/NCONS/2025-2026/00011</a>
                            </div>
                            </div>","<span class=""text-muted"">MAYBACH MOTORS LTD</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-08-04</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:951,552.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/63275175"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/63275175"" class=""text-default font-weight-semibold"">
                                Branded items- (Staff & External) - 2026 WALL CALENDARS
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/63275175"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/SUPLS/2025-2026/00022</a>
                            </div>
                            </div>","<span class=""text-muted"">UGANDA PRINTING & PUBLISHING CORPORATION</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-12</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:4,950,000.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
Repair and service of HP Color Jet Printer,"<span class=""text-muted"">TMT TECHNOLOGIES U LTD</span>",20-08-2025,"UGX
                                            :3,197,800.00
                                            /= V.A.T Inclusive","<span class=""badge bg-blue"">Active</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/61849575,Public Procurement and Disposal of the Public Assets Authority,PPDA/NCONS/2025-2026/00015,Micro Procurement,TMT TECHNOLOGIES U LTD,20-08-2025,Head PDU,20 Aug 2025,ACCOUNTING OFFICER,2025-10-04T12:53:54.929599,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/62916750"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/62916750"" class=""text-default font-weight-semibold"">
                                Office equipment, stationery and consumables - Big stapling machine and Big punching machine
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/62916750"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/SUPLS/2025-2026/00013</a>
                            </div>
                            </div>","<span class=""text-muted"">THEA WORLD (U) LTD</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-04</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:590,000.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/62928900"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/62928900"" class=""text-default font-weight-semibold"">
                                Branded items- (Staff & External) - BOARD CORPORATE FRAMES
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/62928900"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/SUPLS/2025-2026/00021</a>
                            </div>
                            </div>","<span class=""text-muted"">KEOD INVESTMENTS LIMITED</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-04</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:1,335,000.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/62971425"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/62971425"" class=""text-default font-weight-semibold"">
                                Repair of Lenovo Laptop
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/62971425"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/NCONS/2025-2026/00036</a>
                            </div>
                            </div>","<span class=""text-muted"">MILLENIUM INFOSYS LTD</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-05</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:800,000.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/61952850"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/61952850"" class=""text-default font-weight-semibold"">
                                MOTOR VEHICLE   REPLACEMENT MUDFLAP UBL129T
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/61952850"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/NCONS/2025-2026/00021</a>
                            </div>
                            </div>","<span class=""text-muted"">MAYBACH MOTORS LTD</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-08-14</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:454,300.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/63522225"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/63522225"" class=""text-default font-weight-semibold"">
                                REPAIR OF UBD528B
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/63522225"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/SUPLS/2025-2026/00031</a>
                            </div>
                            </div>","<span class=""text-muted"">MAC EAST AFRICA LTD</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-17</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:1,058,998.99/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
MOTOR SERVICE FOR UAR592Y,"<span class=""text-muted"">CFAO MOBILITY UGANDA LIMITED</span>",20-08-2025,"UGX
                                            :410,800.00
                                            /= V.A.T Inclusive","<span class=""badge bg-blue"">Active</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/61971075,Public Procurement and Disposal of the Public Assets Authority,PPDA/NCONS/2025-2026/00018,Micro Procurement,CFAO MOBILITY UGANDA LIMITED,20-08-2025,Head PDU,20 Aug 2025,ACCOUNTING OFFICER,2025-10-04T12:54:18.268843,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/63566775"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/63566775"" class=""text-default font-weight-semibold"">
                                CLUTCH REPAIR FOR UBD080C
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/63566775"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                PPDA/NCONS/2025-2026/00046</a>
                            </div>
                            </div>","<span class=""text-muted"">MOTOR CARE UGANDA LTD</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-18</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:2,895,397.87/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
MOTOR VEHICLE REPAIRS FOR UAA597F,"<span class=""text-muted"">CFAO MOBILITY UGANDA LIMITED</span>",21-08-2025,"UGX
                                            :1,659,954.05
                                            /= V.A.T Inclusive","<span class=""badge bg-blue"">Active</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/62203950,Public Procurement and Disposal of the Public Assets Authority,PPDA/NCONS/2025-2026/00020,Micro Procurement,CFAO MOBILITY UGANDA LIMITED,21-08-2025,Head PDU,21 Aug 2025,ACCOUNTING OFFICER,2025-10-04T12:54:22.658790,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/62738550"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/62738550"" class=""text-default font-weight-semibold"">
                                Hire of  Tables & chairs  to  be used  in the dinning for meals for  the workshop on Brand protection symposium for entrepreneurs ,Fashion Designers & small medium Enterprise
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/62738550"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                URSB/NCONS/2025-2026/00102</a>
                            </div>
                            </div>","<span class=""text-muted"">OMAHK EVENTS  PLANNING & DECOR LTD</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-01</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:2,499,800.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/63783450"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/63783450"" class=""text-default font-weight-semibold"">
                                Repair of Motor vehicle UG24 00074 (Hoima Regional Office Vehicle)
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/63783450"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                URSB/NCONS/2025-2026/00143</a>
                            </div>
                            </div>","<span class=""text-muted"">EB AUTO SERVICES CLINIC LIMITED</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-23</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:2,666,800.00/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
Replacement of Brakes & Disk Skimming for MV No. UBQ 407W - SIMPO,"<span class=""text-muted"">DA EDGE SYNERGIES CO.LTD</span>",25-09-2025,"UGX
                                            :815,380.00
                                            /= V.A.T Inclusive","<span class=""badge bg-blue"">Active</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/63795600,Uganda Registration Services Bureau,URSB/NCONS/2025-2026/00144,Micro Procurement,DA EDGE SYNERGIES CO.LTD,25-09-2025,Head PDU,25 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:54:29.421377,unsuccessful,SSM  AUTO  GARAGE,"666,700.00",,"Preliminary
                                                            Evaluation:Detailed Evaluation: Non ResponsiveFinancial
                                                            Evaluation",-
Procurement for the Enhancement of the Online Business Registration System to include Modules for Registration and Management of  Non-Individual Entities and the Trep Single Registration Form Process,"<span class=""text-muted"">GOVNET SERVICES LTD</span>",12-09-2025,"UGX
                                            :5,569,540,000.00
                                            /= V.A.T Inclusive","<span class=""badge bg-blue"">Active</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/63299475,Uganda Registration Services Bureau,URSB/NCONS/2025-2026/00078,Direct Procurement,GOVNET SERVICES LTD,12-09-2025,Head PDU,12 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:54:31.635117,successful_only,,,,,
"<div class=""d-flex align-items-center"">
                            <div class=""mr-3"">
                            <a href=""/best-evaluated-bidder-notice-report/63305550"">
                            <img src=""/images/court-of-arms.png"" class=""rounded-circle"" width=""32"" height=""32"" alt="""">
                            </a>
                            </div>
                            <div>
                            <a href=""/best-evaluated-bidder-notice-report/63305550"" class=""text-default font-weight-semibold"">
                                Transportation repair or maintenance services - Repair of motor vehicle under regional offices
                            </a>
                            <a href=""/best-evaluated-bidder-notice-report/63305550"" class=""text-muted font-size-sm d-block"">
                                <span class=""badge badge-mark border-blue mr-1""></span>
                                URSB/NCONS/2025-2026/00131</a>
                            </div>
                            </div>","<span class=""text-muted"">CFAO MOBILITY UGANDA LIMITED</span>","<h6 class=""font-weight-semibold text-right mb-0"">2025-09-12</h6>","<h6 class=""font-weight-semibold text-right mb-0"">UGX:1,842,230.02/=</h6>","<span class=""badge bg-blue"">Active</span>",,,,,,,,,,,successful_only,,,,,
Repair of Motor Vehicle No. UG 2400049 Mitsubithi L200,"<span class=""text-muted"">EB AUTO SERVICES CLINIC LIMITED</span>",16-09-2025,"UGX
                                            :12,472,600.00
                                            /= V.A.T Inclusive","<span class=""badge bg-success"">Completed</span>",https://egpuganda.go.ug/best-evaluated-bidder-notice-report/63327825,Uganda Registration Services Bureau,URSB/NCONS/2025-2026/00092,Request for Quotations/Proposals,EB AUTO SERVICES CLINIC LIMITED,30-09-2025,Head PDU,16 Sep 2025,ACCOUNTING OFFICER,2025-10-04T12:54:36.092364,successful_only,,,,,
